,objective,metric,boosting_type,boost_from_average,num_threads,random_state,num_leaves,min_data_in_leaf,min_child_weight,max_depth,bagging_fraction,feature_fraction,lambda_l1,lambda_l2,logloss
42,binary,binary_logloss,gbdt,True,4,42,19,180,0.03069196810206908,69,0.7693197717367668,0.7181572727946965,0.1780195766025737,0.7864552947749811,0.42363214965956547
43,binary,binary_logloss,gbdt,True,4,42,155,193,0.01890709771770303,85,0.8161999982283542,0.8843288664937219,0.23954090183771243,0.8990267020675063,0.42467195710126543
44,binary,binary_logloss,gbdt,True,4,42,16,158,0.023229081448951427,45,0.6700464687116685,0.5005182357113934,0.2657999831178803,0.9704924629171623,0.4241589450783341
45,binary,binary_logloss,gbdt,True,4,42,81,167,0.010909825770108248,35,0.6279121142437634,0.7519391389872035,0.5543321805764093,1.5838210680162081,0.42279010058963373
46,binary,binary_logloss,gbdt,True,4,42,213,182,0.037791942793968795,58,0.7138413514211298,0.6380904207787939,0.37566553023345206,1.167933673556086,0.42353057131025384
47,binary,binary_logloss,gbdt,True,4,42,272,10,0.008487480013049336,75,0.8858798540058435,0.8079959929684656,0.1160212206251648,1.3724817088593533,0.43212591788435767
48,binary,binary_logloss,gbdt,True,4,42,135,194,0.00653795135196151,62,0.7991304406695502,0.7317432236576541,0.3078548871612667,0.5915569966830102,0.4214851923778312
49,binary,binary_logloss,gbdt,True,4,42,52,171,0.011670728375566312,17,0.6918684647819383,0.7016424725799837,0.15963610547011337,0.13194883080636063,0.42329311459335084
50,binary,binary_logloss,gbdt,True,4,42,376,152,0.0049993351967134985,27,0.5231922664230753,0.9229880450886621,0.13984796207186465,0.7984641128386819,0.4220691719701491
51,binary,binary_logloss,gbdt,True,4,42,133,193,0.006528560542910701,53,0.8336645498113137,0.7325222937382809,0.3298345223880914,0.5969475614891293,0.42282772309687017
52,binary,binary_logloss,gbdt,True,4,42,15,200,0.006031319298850042,61,0.7955296157184293,0.7768327546242204,0.20726249502951857,0.4458592063712626,0.42382276311670725
53,binary,binary_logloss,gbdt,True,4,42,181,193,0.0032299280801486,65,0.7665947875776498,0.7558809287121109,0.24468883730668375,0.9688747205976224,0.42391729136456013
54,binary,binary_logloss,gbdt,True,4,42,97,91,0.0054670500082471055,49,0.7365520552218967,0.8313869417922543,0.30359174055198845,0.6542965986312869,0.4237448492775976
55,binary,binary_logloss,gbdt,True,4,42,48,180,0.002646247548047271,84,0.8730333329877759,0.6849021884307577,0.10115143815548341,0.5627695885521509,0.42181699043707466
56,binary,binary_logloss,gbdt,True,4,42,308,175,0.013216302010732098,62,0.7778388362048745,0.7229263221210768,0.17919966629767095,0.5071343330981233,0.42236061675114117
57,binary,binary_logloss,gbdt,True,4,42,230,50,0.008800157782858664,76,0.8475740193581828,0.8008325617494758,0.7275281253303876,0.31194760189775833,0.42816085317630836
58,binary,binary_logloss,gbdt,True,4,42,139,187,0.004108564987463585,69,0.7973255964740026,0.6014156292632636,0.46576323082698495,0.8061382363081413,0.4244190466221297
59,binary,binary_logloss,gbdt,True,4,42,979,200,0.0014488317188251114,40,0.7510187019969303,0.850501234285987,0.21584743745384122,1.4293326897745964,0.42508206442626706
60,binary,binary_logloss,gbdt,True,4,42,195,164,0.015544379644952833,99,0.5549776914625675,0.667735602993575,0.3562206255167415,1.1499738573989942,0.4242056253577309
61,binary,binary_logloss,gbdt,True,4,42,668,124,0.005500934419777473,61,0.7239914415792214,0.6989090545283254,0.17548709958741396,1.7479051793151008,0.4224644849531395
